[34m[1mwandb[39m[22m: [33mWARNING[39m Calling wandb.run.save without any arguments is deprecated.Changes to attributes are automatically persisted.
Loading dataset:   3%|████▎                                                                                                                                                     | 13/465 [00:00<00:03, 125.70it/s]
GPU ID:  0

Loading dataset: 100%|█████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 465/465 [00:03<00:00, 123.03it/s]

Loading dataset:  85%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████▎                      | 396/465 [00:02<00:00, 163.51it/s]
eta: 0:11:20  epoch: 1  step: 1001  rgb_loss: 0.1306  depth_loss: 0.0507  joint_loss: 0.0767  cross_entropy_loss: 0.8593  eikonal_loss: 0.0747  loss: 0.6223  beta: 0.0413  theta: 0.0000  data: 0.0163  batch: 0.6814  lr: 0.000477  max_mem: 9152
eta: 0:11:15  epoch: 1  step: 1051  rgb_loss: 0.1451  depth_loss: 0.0717  joint_loss: 0.2166  cross_entropy_loss: 0.7672  eikonal_loss: 0.0774  loss: 0.6190  beta: 0.0409  theta: -0.0092  data: 0.0156  batch: 0.6353  lr: 0.000477  max_mem: 9191
eta: 0:11:13  epoch: 1  step: 1052  rgb_loss: 0.1479  depth_loss: 0.0723  joint_loss: 0.2189  cross_entropy_loss: 0.7805  eikonal_loss: 0.0763  loss: 0.6290  beta: 0.0409  theta: -0.0095  data: 0.0156  batch: 0.6356  lr: 0.000477  max_mem: 9191
eta: 0:11:11  epoch: 1  step: 1053  rgb_loss: 0.1472  depth_loss: 0.0739  joint_loss: 0.2177  cross_entropy_loss: 0.7804  eikonal_loss: 0.0758  loss: 0.6298  beta: 0.0408  theta: -0.0097  data: 0.0156  batch: 0.6357  lr: 0.000477  max_mem: 9191
eta: 0:11:09  epoch: 1  step: 1054  rgb_loss: 0.1473  depth_loss: 0.0731  joint_loss: 0.2124  cross_entropy_loss: 0.7850  eikonal_loss: 0.0729  loss: 0.6308  beta: 0.0408  theta: -0.0099  data: 0.0156  batch: 0.6357  lr: 0.000477  max_mem: 9191
eta: 0:11:07  epoch: 1  step: 1055  rgb_loss: 0.1436  depth_loss: 0.0753  joint_loss: 0.2147  cross_entropy_loss: 0.7948  eikonal_loss: 0.0714  loss: 0.6341  beta: 0.0408  theta: -0.0102  data: 0.0155  batch: 0.6356  lr: 0.000477  max_mem: 9191
eta: 0:11:05  epoch: 1  step: 1056  rgb_loss: 0.1420  depth_loss: 0.0752  joint_loss: 0.2244  cross_entropy_loss: 0.7906  eikonal_loss: 0.0742  loss: 0.6311  beta: 0.0408  theta: -0.0104  data: 0.0156  batch: 0.6357  lr: 0.000477  max_mem: 9191
eta: 0:11:03  epoch: 1  step: 1057  rgb_loss: 0.1467  depth_loss: 0.0751  joint_loss: 0.2151  cross_entropy_loss: 0.7991  eikonal_loss: 0.0739  loss: 0.6394  beta: 0.0407  theta: -0.0107  data: 0.0155  batch: 0.6357  lr: 0.000477  max_mem: 9191
eta: 0:11:01  epoch: 1  step: 1058  rgb_loss: 0.1469  depth_loss: 0.0735  joint_loss: 0.2170  cross_entropy_loss: 0.7949  eikonal_loss: 0.0742  loss: 0.6361  beta: 0.0407  theta: -0.0110  data: 0.0156  batch: 0.6358  lr: 0.000477  max_mem: 9191
eta: 0:11:00  epoch: 1  step: 1059  rgb_loss: 0.1447  depth_loss: 0.0732  joint_loss: 0.2186  cross_entropy_loss: 0.7853  eikonal_loss: 0.0767  loss: 0.6291  beta: 0.0407  theta: -0.0113  data: 0.0155  batch: 0.6359  lr: 0.000477  max_mem: 9191
eta: 0:10:58  epoch: 1  step: 1060  rgb_loss: 0.1461  depth_loss: 0.0742  joint_loss: 0.2245  cross_entropy_loss: 0.8010  eikonal_loss: 0.0761  loss: 0.6396  beta: 0.0406  theta: -0.0116  data: 0.0156  batch: 0.6360  lr: 0.000477  max_mem: 9191
